time,onset_detection,capacitive_detection
46,0,0
69,0,0
93,0,0
116,1,0
140,0,0
163,0,0
187,0,0
210,0,0
234,0,0
259,0,0
282,0,0
306,0,0
329,0,0
353,0,0
376,0,0
400,0,0
424,0,0
448,0,0
472,0,0
495,0,0
519,0,0
542,0,0
566,0,0
590,0,0
614,0,0
637,0,0
661,0,0
685,0,0
708,0,0
732,0,0
756,0,0
780,0,0
803,0,0
827,0,0
850,0,0
874,0,0
899,0,0
922,0,0
946,0,0
969,0,0
993,0,0
1016,0,0
1041,0,0
1064,0,0
1088,0,0
1112,0,0
1135,0,0
1159,0,0
1183,0,0
1207,0,0
1230,0,0
1254,0,0
1277,0,0
1302,0,0
1326,0,0
1349,0,0
1373,0,0
1396,0,0
1421,0,0
1444,0,0
1468,0,0
1491,0,0
1515,0,0
1540,0,0
1563,0,0
1587,0,0
1610,0,0
1634,0,0
1658,0,0
1682,0,0
1705,0,0
1729,0,0
1753,0,0
1777,0,0
1801,0,0
1824,0,0
1848,0,0
1871,0,0
1895,0,0
1920,0,0
1943,0,0
1967,0,1
1990,1,0
2015,0,0
2038,0,0
2062,0,0
2085,0,0
2109,0,0
2134,0,0
2157,0,0
2181,0,0
2204,0,0
2228,0,0
2252,0,0
2276,0,0
2299,0,0
2323,0,0
2347,0,0
2371,0,0
2395,0,0
2418,0,0
2442,1,1
2465,0,0
2490,0,0
2513,0,0
2537,0,0
2561,0,0
2584,0,0
2609,0,0
2632,0,0
2656,0,0
2679,0,0
2703,0,0
2727,0,0
2751,0,0
2775,0,0
2798,0,0
2822,0,0
2846,0,0
2870,0,0
2893,0,1
2917,1,0
2940,0,0
2965,0,0
2989,0,0
3012,0,0
3036,0,0
3059,0,0
3084,0,0
3107,0,0
3131,0,0
3154,0,0
3178,0,0
3203,0,0
3226,0,0
3250,0,0
3273,0,0
3297,0,0
3321,0,0
3345,0,0
3368,0,0
3392,0,1
3416,1,0
3440,0,0
3464,0,0
3487,0,0
3511,0,0
3534,0,0
3559,0,0
3582,0,0
3606,0,0
3630,0,0
3653,0,0
3678,0,0
3701,0,0
3725,0,0
3748,0,0
3772,0,0
3796,0,0
3820,0,0
3844,0,0
3867,0,0
3892,0,0
3915,0,1
3939,0,0
3962,1,0
3986,0,0
4011,0,0
4034,0,0
4058,0,0
4081,0,0
4106,0,0
4129,0,0
4153,0,0
4176,0,0
4200,0,0
4225,0,0
4248,0,0
4272,0,0
4295,0,0
4319,0,0
4343,0,0
4367,0,0
4390,0,0
4414,0,0
4438,0,1
4462,1,0
4486,0,0
4509,0,0
4533,0,0
4556,0,0
4581,0,0
4604,0,0
4628,0,0
4652,0,0
4675,0,0
4700,0,0
4723,0,0
4747,0,0
4770,0,0
4794,0,0
4818,0,0
4842,0,0
4866,0,0
4889,0,0
4913,0,0
4937,0,0
4961,0,1
4984,0,0
5008,1,0
5031,0,0
5056,0,0
5080,0,0
5103,0,0
5127,0,0
5150,0,0
5175,0,0
5198,0,0
5222,0,0
5245,0,0
5269,0,0
5294,0,0
5317,0,0
5341,0,0
5364,0,0
5388,0,0
5412,0,0
5436,0,1
5459,0,0
5483,1,0
5508,0,0
5531,0,0
5555,0,0
5578,0,0
5602,0,0
5626,0,0
5650,0,0
5673,0,0
5697,0,0
5721,0,0
5745,0,0
5769,0,0
5792,0,0
5816,0,0
5839,0,0
5864,0,0
5888,0,0
5911,0,0
5935,1,1
5958,0,0
5983,0,0
6006,0,0
6030,0,0
6053,0,0
6077,0,0
6102,0,0
6125,0,0
6149,0,0
6172,0,0
6196,0,0
6220,0,0
6244,0,0
6267,0,0
6291,0,0
6315,0,0
6339,0,0
6363,0,0
6386,0,0
6410,0,0
6433,0,1
6458,1,0
6481,0,0
6505,0,0
6529,0,0
6552,0,0
6577,0,0
6600,0,0
6624,0,0
6647,0,0
6671,0,0
6695,0,0
6719,0,0
6743,0,0
6766,0,0
6790,0,0
6814,0,0
6838,0,0
6861,0,0
6885,0,0
6908,0,0
6933,0,1
6957,1,0
6980,0,0
7004,0,0
7027,0,0
7052,0,0
7075,0,0
7099,0,0
7122,0,0
7146,0,0
7171,0,0
7194,0,0
7218,0,0
7241,0,0
7265,0,0
7288,0,0
7313,0,0
7336,0,0
7360,0,0
7384,0,0
7408,0,0
7432,0,1
7455,1,0
7479,0,0
7502,0,0
7527,0,0
7550,0,0
7574,0,0
7598,0,0
7621,0,0
7646,0,0
7669,0,0
7693,0,0
7716,0,0
7740,0,0
7764,0,0
7788,0,0
7812,0,0
7835,0,0
7859,0,0
7883,0,0
7907,0,0
7930,0,1
7954,1,0
7977,0,0
8002,0,0
8026,0,0
8049,0,0
8073,0,0
8096,0,0
8121,0,0
8144,0,0
8168,0,0
8192,0,0
8215,0,0
8240,0,0
8263,0,0
8287,0,0
8310,0,0
8334,0,0
8358,0,0
8382,0,0
8406,0,0
8429,0,1
8453,1,0
8477,0,0
8501,0,0
8524,0,0
8548,0,0
8571,0,0
8596,0,0
8620,0,0
8643,0,0
8667,0,0
8690,0,0
8715,0,0
8738,0,0
8762,0,0
8785,0,0
8809,0,0
8834,0,0
8857,0,0
8881,0,0
8904,0,1
8928,1,0
8952,0,0
8976,0,0
8999,0,0
9023,0,0
9047,0,0
9071,0,0
9095,0,0
9118,0,0
9142,0,0
9165,0,0
9190,0,0
9213,0,0
9237,0,0
9261,0,0
9284,0,0
9309,0,0
9332,0,0
9356,0,0
9379,0,1
9403,1,0
9427,0,0
9451,0,0
9475,0,0
9498,0,0
9522,0,0
9546,0,0
9570,0,0
9593,0,0
9617,0,0
9640,0,0
9664,0,0
9689,0,0
9712,0,0
9736,0,0
9759,0,0
9783,0,0
9806,0,0
9831,0,0
9854,0,0
9878,0,1
9902,1,0
9925,0,0
9950,0,0
9973,0,0
9997,0,0
10020,0,0
10044,0,0
10068,0,0
10092,0,0
10116,0,0
10139,0,0
10163,0,0
10187,0,0
10211,0,0
10234,0,0
10258,0,0
10281,0,0
10306,0,0
10330,0,0
10353,0,0
10377,0,0
10401,0,0
10425,0,1
10448,1,0
10472,0,0
10497,0,0
10520,0,0
10544,0,0
10567,0,0
10592,0,0
10615,0,0
10639,0,0
10662,0,0
10686,0,0
10711,0,0
10734,0,0
10758,0,0
10781,0,0
10806,0,0
10829,0,0
10853,0,0
10876,0,0
10900,0,0
10925,0,1
10948,1,0
10972,0,0
10995,0,0
11020,0,0
11043,0,0
11067,0,0
11090,0,0
11114,0,0
11139,0,0
11162,0,0
11186,0,0
11209,0,0
11234,0,0
11257,0,0
11281,0,0
11304,0,0
11328,0,0
11353,0,0
11376,0,0
11400,0,1
11423,1,0
11448,0,0
11471,0,0
11495,0,0
11518,0,0
11542,0,0
11567,0,0
11590,0,0
11614,0,0
11637,0,0
11662,0,0
11685,0,0
11709,0,0
11732,0,0
11756,0,0
11781,0,0
