time (ms),onset_detection,capacitive_detection
46,0,0
69,1,0
93,0,0
116,0,0
140,0,0
163,0,0
187,0,0
211,0,0
235,0,0
259,0,0
282,0,0
306,0,0
329,0,0
353,0,0
377,0,0
401,0,0
424,0,0
448,0,0
472,0,0
495,0,0
520,0,0
543,0,0
567,0,0
590,0,0
614,0,0
637,0,0
661,0,0
686,0,0
709,0,0
733,0,0
756,0,0
780,0,0
803,0,0
828,0,0
851,0,0
875,0,0
899,0,0
922,0,0
946,0,0
969,0,0
994,0,0
1017,0,0
1041,0,0
1064,0,0
1088,0,0
1113,0,0
1136,0,0
1160,0,0
1183,0,0
1207,0,0
1231,0,0
1255,0,0
1278,0,0
1302,0,0
1326,0,0
1350,0,0
1374,0,0
1397,0,0
1421,0,1
1444,0,0
1469,1,0
1492,0,0
1516,0,0
1540,0,0
1564,0,0
1588,0,0
1611,0,0
1635,0,0
1658,0,1
1683,0,0
1707,0,0
1730,0,0
1754,0,0
1777,0,0
1802,0,0
1825,0,0
1849,0,0
1872,0,0
1897,0,0
1921,0,1
1944,0,0
1968,1,0
1991,0,0
2016,0,0
2039,0,0
2063,0,0
2086,0,0
2110,0,0
2135,0,0
2158,0,1
2182,0,0
2205,0,0
2230,0,0
2253,0,0
2277,0,0
2300,0,0
2324,0,0
2349,0,0
2372,0,0
2396,0,0
2419,0,1
2444,0,0
2467,1,0
2491,0,0
2514,0,0
2538,0,0
2563,0,0
2586,0,0
2610,0,0
2633,0,0
2657,0,1
2681,0,0
2705,0,0
2728,0,0
2752,0,0
2777,0,0
2800,0,0
2824,0,0
2847,0,0
2871,0,0
2895,0,0
2919,0,1
2942,0,0
2966,0,0
2991,1,0
3014,0,0
3038,0,0
3061,0,0
3085,0,0
3109,0,0
3133,0,0
3156,0,0
3180,0,1
3204,0,0
3228,0,0
3252,0,0
3275,0,0
3299,0,0
3323,0,0
3347,0,0
3371,0,0
3394,0,0
3418,0,0
3442,0,1
3466,1,0
3489,0,0
3513,0,0
3536,0,0
3561,0,0
3585,0,0
3608,0,0
3632,0,0
3655,0,0
3680,0,0
3703,0,1
3727,1,0
3750,0,0
3775,0,0
3799,0,0
3822,0,0
3846,0,0
3869,0,0
3894,0,0
3917,0,0
3941,0,1
3964,1,0
3988,0,0
4013,0,0
4036,0,0
4060,0,0
4083,0,0
4107,0,0
4131,0,0
4155,0,0
4178,0,0
4202,0,1
4226,1,0
4250,0,0
4274,0,0
4297,0,0
4321,0,0
4344,0,0
4369,0,0
4392,0,0
4416,0,0
4440,0,1
4464,0,0
4488,0,0
4511,1,0
4535,0,0
4558,0,0
4583,0,0
4606,0,0
4630,0,0
4654,0,0
4678,0,0
4702,0,1
4725,0,0
4749,1,0
4772,0,0
4797,0,0
4820,0,0
4844,0,0
4868,0,0
4891,0,0
4916,0,0
4939,0,0
4963,0,0
4986,0,1
5010,0,0
5035,0,0
5058,0,0
5082,0,0
5105,0,0
5130,0,0
5153,0,0
5177,0,0
5200,0,0
5224,0,1
5249,0,0
5272,1,0
5296,0,0
5319,0,0
5343,0,0
5367,0,0
5391,0,0
5414,0,0
5438,0,0
5463,0,0
5486,0,1
5510,1,0
5533,0,0
5558,0,0
5581,0,0
5605,0,0
5628,0,0
5652,0,0
5677,0,0
5700,0,0
5724,0,1
5747,0,0
5771,1,0
5795,0,0
5819,0,0
5842,0,0
5866,0,0
5890,0,0
5914,0,0
5938,0,0
5961,0,0
5985,1,1
6009,0,0
6033,0,0
6056,0,0
6080,0,0
6104,0,0
6128,0,0
6152,0,0
6175,0,0
6199,0,0
6222,0,1
6247,1,0
6270,0,0
6294,0,0
6318,0,0
6341,0,0
6366,0,0
6389,0,0
6413,0,0
6436,0,0
6461,0,0
6484,0,1
6508,0,0
6532,1,0
6555,0,0
6580,0,0
6603,0,0
6627,0,0
6650,0,0
6674,0,0
6699,0,0
6722,0,1
6746,1,0
6769,0,0
6794,0,0
6817,0,0
6841,0,0
6864,0,0
6888,0,0
6913,0,0
6936,0,0
6960,0,0
6983,0,1
7008,0,0
7031,1,0
7055,0,0
7078,0,0
7102,0,0
7127,0,0
7150,0,0
7174,0,0
7197,0,0
7221,0,0
7245,0,1
7269,0,0
7292,1,0
7316,0,0
7340,0,0
7364,0,0
7388,0,0
7411,0,0
7435,0,0
7458,0,0
7483,0,0
7506,0,1
7530,1,0
7554,0,0
7577,0,0
7602,0,0
7625,0,0
7649,0,0
7672,0,0
7696,0,0
7720,0,0
7744,0,0
7768,1,1
7791,0,0
7815,0,0
7839,0,0
7863,0,0
7886,0,0
7910,0,0
7933,0,0
7958,0,0
7982,0,0
8005,0,1
8029,1,0
8052,0,0
8077,0,0
8100,0,0
8124,0,0
8147,0,0
8171,0,0
8196,0,0
8219,0,0
8243,0,1
8266,1,0
8290,0,0
8314,0,0
8338,0,0
8361,0,0
8385,0,0
8409,0,0
8433,0,0
8457,0,0
8480,0,1
8504,0,0
8527,1,0
8552,0,0
8576,0,0
8599,0,0
8623,0,0
8646,0,0
8671,0,0
8694,0,0
8718,0,0
8741,0,0
8765,0,1
8790,1,0
8813,0,0
8837,0,0
8860,0,0
8884,0,0
8908,0,0
8932,0,0
8955,0,0
8979,0,0
9003,0,1
9027,1,0
9051,0,0
9074,0,0
9098,0,0
9121,0,0
9146,0,0
9169,0,0
9193,0,0
9217,0,1
9240,1,0
9265,0,0
9288,0,0
9312,0,0
9335,0,0
9359,0,0
9383,0,0
9407,0,0
9431,0,0
9454,0,0
9478,0,0
9501,0,0
9526,0,0
9549,0,0
9573,0,0
9596,0,0
9620,0,0
9645,0,0
9668,0,0
9692,0,0
9715,0,0
9739,0,0
9762,0,0
9787,0,0
9810,0,0
9834,0,0
9858,0,0
9882,0,0
9906,0,0
9929,0,0
9953,0,1
9976,1,0
10001,0,0
10024,0,0
10048,0,0
10072,0,0
10096,0,0
10120,0,0
10143,0,0
10167,0,0
10190,0,0
10215,0,0
10238,0,0
10262,0,0
10286,0,0
10310,0,0
10334,0,1
10357,1,0
10381,0,0
10405,0,0
10429,0,0
10452,0,0
10476,0,0
10501,0,0
10524,0,0
10548,0,0
10571,0,0
10595,0,0
10619,0,0
10643,0,0
10667,0,0
10690,0,0
10715,0,1
10738,0,0
10762,1,0
10786,0,0
10810,0,0
10833,0,0
10857,0,0
10882,0,0
10905,0,0
10929,0,0
10952,0,0
10977,0,0
11000,0,0
11024,0,0
11047,0,0
11072,0,0
11096,0,0
11119,0,0
11143,0,1
11166,1,0
11191,0,0
11214,0,0
11238,0,0
11261,0,0
11286,0,0
